КАРТА_ИД	ДАТУМ_ПРЕГЛЕДА	ВРЕМЕ_ПРЕГЛЕДА	РЕЗУЛТАТ_ПРЕГЛЕДА	НОВИ_ИНТЕРВАЛ
4157813edfb24ffc952f1bd9ccf1d9b5	2020-02-01	16:35:40+0100	1	2
626a3120c18f4744995429cca9f927d5	2020-02-01	16:37:00+0100	0	0
41b7fa646a26475aa6023ed1a1439275	2020-02-01	16:37:31+0100	1	2
41b7fa646a26475aa6023ed1a1439273	2020-02-01	16:38:03+0100	1	2
037e5cd387d04496ae542cf484594e44	2020-02-01	16:38:06+0100	2	3
f8924411091446248d30895d161966f5	2020-02-01	16:38:18+0100	1	2
04f1c7d7a69a4329a9595814c7d72bf5	2020-02-01	16:39:27+0100	0	0
037e5cd387d04496ae542cf484594e45	2020-02-01	16:40:06+0100	1	2
61788414796a4bf38732695db87aab95	2020-02-01	16:40:51+0100	1	2
626a3120c18f4744995429cca9f927d5	2020-02-01	16:41:03+0100	1	1
04f1c7d7a69a4329a9595814c7d72bf5	2020-02-01	16:41:27+0100	1	1
dbdd587dc8b44137a35899f6ccfa65c0	2020-02-02	22:53:16+0100	0	0
1d258aed486a429f8ca7220b8377eb50	2020-02-02	22:53:20+0100	2	2
78800cc773684261b84d4c6e507cd570	2020-02-02	22:53:25+0100	0	0
dcdf694156264a89a4f4869a19e3b920	2020-02-02	22:53:29+0100	2	2
78d721ef79ac4371b52216f34dd7cbb0	2020-02-02	22:53:31+0100	2	2
dcdf694156264a89a4f4869a19e3b921	2020-02-02	22:53:38+0100	1	1
78d721ef79ac4371b52216f34dd7cbb1	2020-02-02	22:53:42+0100	1	1
78800cc773684261b84d4c6e507cd571	2020-02-02	22:53:52+0100	0	0
1d258aed486a429f8ca7220b8377eb51	2020-02-02	22:53:59+0100	1	1
dbdd587dc8b44137a35899f6ccfa65c1	2020-02-02	22:54:11+0100	1	1
dcdf694156264a89a4f4869a19e3b922	2020-02-02	22:54:22+0100	0	0
78d721ef79ac4371b52216f34dd7cbb2	2020-02-02	22:54:27+0100	2	2
1d258aed486a429f8ca7220b8377eb52	2020-02-02	22:54:30+0100	2	2
dbdd587dc8b44137a35899f6ccfa65c2	2020-02-02	22:54:33+0100	0	0
78800cc773684261b84d4c6e507cd572	2020-02-02	22:54:38+0100	1	1
dbdd587dc8b44137a35899f6ccfa65c3	2020-02-02	22:54:51+0100	0	0
78800cc773684261b84d4c6e507cd573	2020-02-02	22:54:59+0100	1	1
dcdf694156264a89a4f4869a19e3b923	2020-02-02	22:55:06+0100	1	1
1d258aed486a429f8ca7220b8377eb53	2020-02-02	22:55:09+0100	2	2
78d721ef79ac4371b52216f34dd7cbb3	2020-02-02	22:55:14+0100	2	2
1d258aed486a429f8ca7220b8377eb54	2020-02-02	22:55:21+0100	2	2
78800cc773684261b84d4c6e507cd574	2020-02-02	22:55:26+0100	1	1
dbdd587dc8b44137a35899f6ccfa65c4	2020-02-02	22:55:39+0100	1	1
78d721ef79ac4371b52216f34dd7cbb4	2020-02-02	22:55:40+0100	2	2
dcdf694156264a89a4f4869a19e3b924	2020-02-02	22:55:42+0100	2	2
78800cc773684261b84d4c6e507cd575	2020-02-02	22:56:39+0100	1	1
dcdf694156264a89a4f4869a19e3b925	2020-02-02	22:56:56+0100	1	1
dbdd587dc8b44137a35899f6ccfa65c5	2020-02-02	22:57:17+0100	1	1
1d258aed486a429f8ca7220b8377eb55	2020-02-02	22:58:08+0100	1	1
78d721ef79ac4371b52216f34dd7cbb5	2020-02-02	22:58:22+0100	1	1
dbdd587dc8b44137a35899f6ccfa65c0	2020-02-02	22:59:14+0100	1	1
78800cc773684261b84d4c6e507cd570	2020-02-02	22:59:18+0100	1	1
78800cc773684261b84d4c6e507cd571	2020-02-02	22:59:21+0100	1	1
dcdf694156264a89a4f4869a19e3b922	2020-02-02	22:59:27+0100	1	1
dbdd587dc8b44137a35899f6ccfa65c2	2020-02-02	22:59:33+0100	1	1
dbdd587dc8b44137a35899f6ccfa65c3	2020-02-02	22:59:40+0100	0	0
dbdd587dc8b44137a35899f6ccfa65c3	2020-02-02	22:59:48+0100	1	1
923c9a3057f74ffd93f387ac559dc802	2020-02-03	15:35:03+0100	1	2
b2d8d718e2194ae89d99f29132781762	2020-02-03	15:35:07+0100	1	2
de07bde59ede40c694d1ab603dc6b873	2020-02-03	15:35:16+0100	1	2
923c9a3057f74ffd93f387ac559dc803	2020-02-03	15:35:19+0100	0	1
626a3120c18f4744995429cca9f927d3	2020-02-03	15:35:24+0100	1	2
b2d8d718e2194ae89d99f29132781763	2020-02-03	15:35:27+0100	1	2
04f1c7d7a69a4329a9595814c7d72bf3	2020-02-03	15:35:30+0100	1	2
923c9a3057f74ffd93f387ac559dc805	2020-02-03	15:35:46+0100	1	2
626a3120c18f4744995429cca9f927d5	2020-02-03	15:35:56+0100	1	2
04f1c7d7a69a4329a9595814c7d72bf5	2020-02-03	15:36:03+0100	0	1
b2d8d718e2194ae89d99f29132781765	2020-02-03	15:36:10+0100	1	2
de07bde59ede40c694d1ab603dc6b875	2020-02-03	15:36:15+0100	0	1
923c9a3057f74ffd93f387ac559dc803	2020-02-03	15:36:31+0100	1	2
04f1c7d7a69a4329a9595814c7d72bf5	2020-02-03	15:36:40+0100	1	2
de07bde59ede40c694d1ab603dc6b875	2020-02-03	15:36:45+0100	1	2
12cbde2735cc40fb805198522fbc41e0	2020-02-09	09:42:42+0100	0	0
c102919b1f7f43bd975c3e5c4d16d660	2020-02-09	09:42:45+0100	2	2
41b7fa646a26475aa6023ed1a1439270	2020-02-09	09:42:49+0100	0	2
f6095ed74cba4b60b3924cce0d836610	2020-02-09	09:42:51+0100	2	2
9e12923fd83e48d5ac08ab01dea6ca20	2020-02-09	09:42:54+0100	2	4
4157813edfb24ffc952f1bd9ccf1d9b0	2020-02-09	09:42:56+0100	2	4
837d6ec7c0cc43b6aceaac6f33fa8e10	2020-02-09	09:42:58+0100	2	2
a3e89d5fe1dd422aac35e87fafd83910	2020-02-09	09:43:03+0100	2	2
fb1d616beea74912b8a9ea8c1ece2d70	2020-02-09	09:43:05+0100	2	2
